electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.095,0.091,0.037,0.004
0.095,0.091,0.005,0.004
0.093,0.095,0.004,0.001
0.093,0.093,0.004,0.001
0.094,0.075,0.004,0.003
0.093,0.062,0.004,0.004
0.091,0.037,0.004,0.03
0.091,0.005,0.027,0.052
0.095,0.004,0.039,0.074
0.093,0.004,0.036,0.074
0.075,0.004,0.005,0.07
0.062,0.004,0.004,0.057
0.037,0.004,0.004,0.053
0.005,0.027,0.004,0.037
0.004,0.039,0.001,0.039
0.004,0.036,0.001,0.025
0.004,0.005,0.003,0.016
0.004,0.004,0.004,0.016
0.004,0.004,0.03,0.029
0.027,0.004,0.052,0.051
0.039,0.001,0.074,0.055
0.036,0.001,0.074,0.056
